[INFO] [1634231004.910401, 15.238000]: Number of targets 9 / distance to curent goal 1.76 / collission number 0
[INFO] [1634231005.154677, 15.432000]: Number of targets 9 / distance to curent goal 1.75 / collission number 0
[INFO] [1634231005.411918, 15.636000]: Number of targets 9 / distance to curent goal 1.73 / collission number 0
[INFO] [1634231005.670906, 15.840000]: Number of targets 9 / distance to curent goal 1.71 / collission number 0
[INFO] [1634231005.924331, 16.033000]: Number of targets 9 / distance to curent goal 1.69 / collission number 0
[INFO] [1634231006.179911, 16.233000]: Number of targets 9 / distance to curent goal 1.67 / collission number 0
[INFO] [1634231006.447826, 16.439000]: Number of targets 9 / distance to curent goal 1.64 / collission number 0
[INFO] [1634231006.693593, 16.633000]: Number of targets 9 / distance to curent goal 1.61 / collission number 0
[INFO] [1634231006.962996, 16.839000]: Number of targets 9 / distance to curent goal 1.58 / collission number 0
[INFO] [1634231007.233643, 17.041000]: Number of targets 9 / distance to curent goal 1.55 / collission number 0
[INFO] [1634231007.498042, 17.243000]: Number of targets 9 / distance to curent goal 1.52 / collission number 0
[INFO] [1634231007.749097, 17.438000]: Number of targets 9 / distance to curent goal 1.48 / collission number 0
[INFO] [1634231008.007294, 17.647000]: Number of targets 9 / distance to curent goal 1.44 / collission number 0
[INFO] [1634231008.246552, 17.836000]: Number of targets 9 / distance to curent goal 1.41 / collission number 0
[INFO] [1634231008.500033, 18.035000]: Number of targets 9 / distance to curent goal 1.36 / collission number 0
[INFO] [1634231008.758285, 18.234000]: Number of targets 9 / distance to curent goal 1.32 / collission number 0
[INFO] [1634231009.003821, 18.428000]: Number of targets 9 / distance to curent goal 1.29 / collission number 0
[INFO] [1634231009.264731, 18.641000]: Number of targets 9 / distance to curent goal 1.24 / collission number 0
[INFO] [1634231009.511067, 18.842000]: Number of targets 9 / distance to curent goal 1.2 / collission number 0
[INFO] [1634231009.777878, 19.038000]: Number of targets 9 / distance to curent goal 1.16 / collission number 0
[INFO] [1634231010.033211, 19.240000]: Number of targets 9 / distance to curent goal 1.12 / collission number 0
[INFO] [1634231010.289051, 19.436000]: Number of targets 9 / distance to curent goal 1.08 / collission number 0
[INFO] [1634231010.544930, 19.636000]: Number of targets 9 / distance to curent goal 1.03 / collission number 0
[INFO] [1634231010.800316, 19.834000]: Number of targets 9 / distance to curent goal 0.98 / collission number 0
[INFO] [1634231011.058164, 20.033000]: Number of targets 9 / distance to curent goal 0.95 / collission number 0
[INFO] [1634231011.324491, 20.236000]: Number of targets 9 / distance to curent goal 0.9 / collission number 0
[INFO] [1634231011.569121, 20.436000]: Number of targets 9 / distance to curent goal 0.85 / collission number 0
[INFO] [1634231011.823350, 20.639000]: Number of targets 9 / distance to curent goal 0.82 / collission number 0
[INFO] [1634231012.099853, 20.836000]: Number of targets 9 / distance to curent goal 0.77 / collission number 0
[INFO] [1634231012.353314, 21.032000]: Number of targets 9 / distance to curent goal 0.73 / collission number 0
[INFO] [1634231012.610389, 21.238000]: Number of targets 9 / distance to curent goal 0.68 / collission number 0
[INFO] [1634231012.853114, 21.433000]: Number of targets 9 / distance to curent goal 0.65 / collission number 0
[INFO] [1634231013.117562, 21.634000]: Number of targets 9 / distance to curent goal 0.6 / collission number 0
[INFO] [1634231013.377395, 21.838000]: Number of targets 9 / distance to curent goal 0.56 / collission number 0
[INFO] [1634231013.619431, 22.034000]: Number of targets 9 / distance to curent goal 0.51 / collission number 0
[INFO] [1634231013.871561, 22.236000]: Number of targets 9 / distance to curent goal 0.47 / collission number 0
[INFO] [1634231014.128784, 22.441000]: Number of targets 9 / distance to curent goal 0.43 / collission number 0
[INFO] [1634231014.386758, 22.641000]: Number of targets 9 / distance to curent goal 0.39 / collission number 0
[INFO] [1634231014.642914, 22.839000]: Number of targets 9 / distance to curent goal 0.34 / collission number 0
[INFO] [1634231014.896362, 23.040000]: Number of targets 9 / distance to curent goal 0.31 / collission number 0
[INFO] [1634231015.152816, 23.239000]: Number of targets 9 / distance to curent goal 0.26 / collission number 0
[INFO] [1634231015.412914, 23.446000]: Number of targets 9 / distance to curent goal 0.22 / collission number 0
[INFO] [1634231015.666044, 23.638000]: Number of targets 9 / distance to curent goal 0.2 / collission number 0
[INFO] [1634231015.907663, 23.832000]: Goal!!
7 4
[INFO] [1634231016.946195, 24.600000]: Goal position : 2.0, 1.5
